URL,Название,Тип,Источник,Имя файла
https://fincult.info/article/kreditnyy-reyting-chto-eto-takoe-i-kak-im-polzovatsya/,kreditnyy reyting chto eto takoe i kak im polzovatsya,статья,fincult,kreditnyy-reyting-chto-eto-takoe-i-kak-im-polzovatsya.txt
https://fincult.info/article/mify-i-pravda-o-dragotsennykh-metallakh/,mify i pravda o dragotsennykh metallakh,статья,fincult,mify-i-pravda-o-dragotsennykh-metallakh.txt
https://fincult.info/article/mfo-kak-na-nikh-zarabotat/,mfo kak na nikh zarabotat,статья,fincult,mfo-kak-na-nikh-zarabotat.txt
https://fincult.info/article/chto-takoe-marzhinalnaya-torgovlya-i-v-chem-ee-riski/,chto takoe marzhinalnaya torgovlya i v chem ee riski,статья,fincult,chto-takoe-marzhinalnaya-torgovlya-i-v-chem-ee-riski.txt
https://fincult.info/article/chto-takoe-individualnyy-investitsionnyy-schet/,chto takoe individualnyy investitsionnyy schet,статья,fincult,chto-takoe-individualnyy-investitsionnyy-schet.txt
https://fincult.info/article/chto-takoe-doveritelnoe-upravlenie-i-zachem-ono-nachinayushchemu-investoru/,chto takoe doveritelnoe upravlenie i zachem ono nachinayushchemu investoru,статья,fincult,chto-takoe-doveritelnoe-upravlenie-i-zachem-ono-nachinayushchemu-investoru.txt
https://fincult.info/article/kak-nayti-poteryannye-aktsii/,kak nayti poteryannye aktsii,статья,fincult,kak-nayti-poteryannye-aktsii.txt
https://fincult.info/article/obligatsii-chto-eto-takoe-i-kak-na-nikh-zarabotat/,obligatsii chto eto takoe i kak na nikh zarabotat,статья,fincult,obligatsii-chto-eto-takoe-i-kak-na-nikh-zarabotat.txt
https://fincult.info/article/kak-ne-stoit-shutit-s-dengami-ili-vrednye-sovety-investoru/,kak ne stoit shutit s dengami ili vrednye sovety investoru,статья,fincult,kak-ne-stoit-shutit-s-dengami-ili-vrednye-sovety-investoru.txt
https://fincult.info/article/kak-investirovat-v-zoloto-i-drugie-dragotsennye-metally/,kak investirovat v zoloto i drugie dragotsennye metally,статья,fincult,kak-investirovat-v-zoloto-i-drugie-dragotsennye-metally.txt
https://fincult.info/article/chto-takoe-veksel-i-pochemu-s-nim-nuzhno-byt-ostorozhnym/,chto takoe veksel i pochemu s nim nuzhno byt ostorozhnym,статья,fincult,chto-takoe-veksel-i-pochemu-s-nim-nuzhno-byt-ostorozhnym.txt
https://fincult.info/article/dogovor-s-brokerom-na-chto-obratit-vnimanie/,dogovor s brokerom na chto obratit vnimanie,статья,fincult,dogovor-s-brokerom-na-chto-obratit-vnimanie.txt
https://fincult.info/article/vy-stali-zhertvoy-finansovoy-piramidy/,vy stali zhertvoy finansovoy piramidy,статья,fincult,vy-stali-zhertvoy-finansovoy-piramidy.txt
https://fincult.info/article/vo-chto-investirovat-novichku-na-birzhe-chto-daet-status-kvala-i-v-kakikh-sluchayakh-pridetsya-prokh/,vo chto investirovat novichku na birzhe chto daet status kvala i v kakikh sluchayakh pridetsya prokh,статья,fincult,vo-chto-investirovat-novichku-na-birzhe-chto-daet-status-kvala-i-v-kakikh-sluchayakh-pridetsya-prokh.txt
https://www.gazprombank.ru/pro-finance/investment/mozhno-li-investirovat-s-1000-rublej/,mozhno li investirovat s 1000 rublej,статья,gazprom,mozhno-li-investirovat-s-1000-rublej.txt
https://www.gazprombank.ru/pro-finance/investment/kak-rabotaet-fondovyj-rynok/,kak rabotaet fondovyj rynok,статья,gazprom,kak-rabotaet-fondovyj-rynok.txt
https://www.gazprombank.ru/pro-finance/investment/5-sposobov-investirovat-v-zoloto/,5 sposobov investirovat v zoloto,статья,gazprom,5-sposobov-investirovat-v-zoloto.txt
https://www.gazprombank.ru/pro-finance/investment/investicii-v-startapy/,investicii v startapy,статья,gazprom,investicii-v-startapy.txt
https://www.gazprombank.ru/pro-finance/investment/zoloto-kak-aktiv/,zoloto kak aktiv,статья,gazprom,zoloto-kak-aktiv.txt
https://www.gazprombank.ru/pro-finance/investment/chto-takoe-fundamentalnyj-alaliz/,chto takoe fundamentalnyj alaliz,статья,gazprom,chto-takoe-fundamentalnyj-alaliz.txt
https://www.gazprombank.ru/pro-finance/investment/avtomaticheskoe-investirovanie/,avtomaticheskoe investirovanie,статья,gazprom,avtomaticheskoe-investirovanie.txt
https://www.gazprombank.ru/pro-finance/investment/chto-takoe-obligacii/,chto takoe obligacii,статья,gazprom,chto-takoe-obligacii.txt
https://www.gazprombank.ru/pro-finance/investment/oshibki-nachinayushih-investorov/,oshibki nachinayushih investorov,статья,gazprom,oshibki-nachinayushih-investorov.txt
https://www.gazprombank.ru/pro-finance/investment/kak-investirovat-dengi-bez-riska/,kak investirovat dengi bez riska,статья,gazprom,kak-investirovat-dengi-bez-riska.txt
https://www.gazprombank.ru/pro-finance/investment/chto-takoe-investitsionnyy-klimat/,chto takoe investitsionnyy klimat,статья,gazprom,chto-takoe-investitsionnyy-klimat.txt
https://www.gazprombank.ru/pro-finance/investment/,investment,статья,gazprom,investment.txt
https://www.gazprombank.ru/pro-finance/investment/kak-privlech-investicii-v-biznes/,kak privlech investicii v biznes,статья,gazprom,kak-privlech-investicii-v-biznes.txt
https://school.moex.com/articles/strukturnye-produkty-na-rossijskom-rynke-novyj-vid-investicij-i-diversifikacii-portfelya,Структурные продукты на российском рынке: новый вид инвестиций и диверсификации портфеля,статья,moex,Структурные продукты на российском рынке новый вид_strukturnye-produkty-na-rossijskom-rynke-novyj-vid-investicij-i-diversifikacii-portfelya.txt
https://school.moex.com/articles/kak-hedzhirovat-riski-effektivnye-metody-dlya-rossijskih-investorov,Как хеджировать риски: эффективные методы для российских инвесторов,статья,moex,Как хеджировать риски эффективные методы для росси_kak-hedzhirovat-riski-effektivnye-metody-dlya-rossijskih-investorov.txt
https://school.moex.com/articles/samye-udachnye-vlozheniya-2024,Самые удачные вложения 2024,статья,moex,Самые удачные вложения 2024_samye-udachnye-vlozheniya-2024.txt
https://school.moex.com/articles/novogodnee-ralli-na-fondovom-rynke-rossii,Новогоднее ралли на фондовом рынке России,статья,moex,Новогоднее ралли на фондовом рынке России_novogodnee-ralli-na-fondovom-rynke-rossii.txt
https://school.moex.com/articles/oshibki-pri-investirovanii-na-akciyah,Ошибки при инвестировании на акциях,статья,moex,Ошибки при инвестировании на акциях_oshibki-pri-investirovanii-na-akciyah.txt
https://school.moex.com/articles/investicionnye-fondy-nachni-zarabatyvat-na-pifah,Инвестиционные фонды: начни зарабатывать на ПИФах,статья,moex,Инвестиционные фонды начни зарабатывать на ПИФах_investicionnye-fondy-nachni-zarabatyvat-na-pifah.txt
https://school.moex.com/articles/kak-investirovat-v-zoloto-zolotye-monety-slitki-birzhevye-aktivy,"Как инвестировать в золото: золотые монеты, слитки, биржевые активы",статья,moex,Как инвестировать в золото золотые монеты слитки б_kak-investirovat-v-zoloto-zolotye-monety-slitki-birzhevye-aktivy.txt
https://school.moex.com/articles/chto-takoe-blokchein,Что такое блокчейн. История криптовалюты,статья,moex,Что такое блокчейн История криптовалюты_chto-takoe-blokchein.txt
https://school.moex.com/articles/rasskazyvaem-prosto-o-slozhnom-procente,Рассказываем просто о сложном проценте,статья,moex,Рассказываем просто о сложном проценте_rasskazyvaem-prosto-o-slozhnom-procente.txt
https://school.moex.com/articles/chto-takoe-fyuchersy-i-kak-oni-ustroeny,Что такое фьючерсы и как они устроены,статья,moex,Что такое фьючерсы и как они устроены_chto-takoe-fyuchersy-i-kak-oni-ustroeny.txt
https://school.moex.com/articles/opciony-slozhno-riskovanno-no-ohen-effektivno,"Опционы – сложно, рискованно, но очень эффективно",статья,moex,Опционы  сложно рискованно но очень эффективно_opciony-slozhno-riskovanno-no-ohen-effektivno.txt
https://school.moex.com/articles/kak-prohodyt-torgi-na-moskovskoj-birzhe,Как проходят торги на Московской бирже,статья,moex,Как проходят торги на Московской бирже_kak-prohodyt-torgi-na-moskovskoj-birzhe.txt
https://school.moex.com/articles/kak-poluchat-na-birzhe-okolo-10-godovyh-pochti-bez1-riska,Как получать на бирже около 10% годовых,статья,moex,Как получать на бирже около 10 годовых_kak-poluchat-na-birzhe-okolo-10-godovyh-pochti-bez1-riska.txt
https://school.moex.com/articles/brokerskiy-schet,"Брокерский счет | Что это, как его открыть | Школа Московской биржи",статья,moex,Брокерский счет  Что это как его открыть  Школа Мо_brokerskiy-schet.txt
https://school.moex.com/articles/kak-ip-i-samozanyatye-platyat-nalogi-torguya-na-moskovskoj-birzhe,"Как ИП и самозанятые платят налоги, торгуя на Московской бирже?",статья,moex,Как ИП и самозанятые платят налоги торгуя на Моско_kak-ip-i-samozanyatye-platyat-nalogi-torguya-na-moskovskoj-birzhe.txt
https://school.moex.com/articles/dividendy-v-2023-kak-na-nih-zarabotat,Дивиденды в 2023: как на них заработать,статья,moex,Дивиденды в 2023 как на них заработать_dividendy-v-2023-kak-na-nih-zarabotat.txt
https://school.moex.com/articles/kak-i-kakogo-brokera-vybrat-2023,Как и какого брокера выбрать для торговли на Московской бирже в 2023 году?,статья,moex,Как и какого брокера выбрать для торговли на Моско_kak-i-kakogo-brokera-vybrat-2023.txt
https://school.moex.com/articles/opredelenie-sroka-i-prioriteta-investicij,Определение срока и приоритета инвестиций,статья,moex,Определение срока и приоритета инвестиций_opredelenie-sroka-i-prioriteta-investicij.txt
https://school.moex.com/articles/kak-rabotayut-moshenniki-chto-takoe-skhema-ponci-i-pochemu-lyudi-nesut-tuda-dengi,Как работают мошенники: что такое схема Понци и почему люди несут туда деньги,статья,moex,Как работают мошенники что такое схема Понци и поч_kak-rabotayut-moshenniki-chto-takoe-skhema-ponci-i-pochemu-lyudi-nesut-tuda-dengi.txt
https://school.moex.com/articles/chem-otlichayutsya-fondovyj-i-srochnyj-rynok-na-moskovskoj-birzhe,Чем отличаются фондовый и срочный рынок на Московской бирже,статья,moex,Чем отличаются фондовый и срочный рынок на Московс_chem-otlichayutsya-fondovyj-i-srochnyj-rynok-na-moskovskoj-birzhe.txt
https://school.moex.com/articles/kak-poluchat-ezhemesyachnyj-dohod-na-birzhe,Как получать ежемесячный доход на бирже,статья,moex,Как получать ежемесячный доход на бирже_kak-poluchat-ezhemesyachnyj-dohod-na-birzhe.txt
https://school.moex.com/articles/chto-takoe-denezhnyj-potok,Что такое денежный поток,статья,moex,Что такое денежный поток_chto-takoe-denezhnyj-potok.txt
https://school.moex.com/articles/golubye-fishki-na-moskovskoj-birzhe,Какие акции называют голубыми фишками и как в них инвестировать,статья,moex,Какие акции называют голубыми фишками и как в них _golubye-fishki-na-moskovskoj-birzhe.txt
https://school.moex.com/articles/kak-vybrat-brokera-dlya-torgovli-na-birzhe,Как выбрать брокера для торговли на бирже,статья,moex,Как выбрать брокера для торговли на бирже_kak-vybrat-brokera-dlya-torgovli-na-birzhe.txt
https://school.moex.com/articles/kuda-vlozhit-10-000-rublej,Куда вложить 10 000 рублей,статья,moex,Куда вложить 10 000 рублей_kuda-vlozhit-10-000-rublej.txt
https://school.moex.com/articles/kak-novichkam-torgovat-na-fondovoj-birzhe,Как новичкам торговать на фондовой бирже,статья,moex,Как новичкам торговать на фондовой бирже_kak-novichkam-torgovat-na-fondovoj-birzhe.txt
https://school.moex.com/articles/kak-zarabatyvat-na-dividendah-po-akciyam,Как зарабатывать на дивидендах по акциям?,статья,moex,Как зарабатывать на дивидендах по акциям_kak-zarabatyvat-na-dividendah-po-akciyam.txt
https://school.moex.com/articles/kak-stat-kvalificirovannym-investorom,Как стать квалифицированным инвестором,статья,moex,Как стать квалифицированным инвестором_kak-stat-kvalificirovannym-investorom.txt
https://school.moex.com/articles/osnovnye-figury-v-tekhnicheskom-analize-fondovogo-rynka,Основные фигуры в техническом анализе фондового рынка,статья,moex,Основные фигуры в техническом анализе фондового ры_osnovnye-figury-v-tekhnicheskom-analize-fondovogo-rynka.txt
https://school.moex.com/articles/chto-takoe-koefficient-rentabelnosti-sobstvennogo-kapitala-roe,Что такое коэффициент рентабельности собственного капитала ROE,статья,moex,Что такое коэффициент рентабельности собственного _chto-takoe-koefficient-rentabelnosti-sobstvennogo-kapitala-roe.txt
https://school.moex.com/articles/chto-takoe-obratnyj-vykup-akcij-na-fondovom-rynke,Что такое обратный выкуп акций на фондовом рынке,статья,moex,_moex.txt
https://school.moex.com/articles/investicionnyj-portfel-svoimi-rukami,Инвестиционный портфель своими руками,статья,moex,Инвестиционный портфель своими руками_investicionnyj-portfel-svoimi-rukami.txt
https://school.moex.com/articles/chto-znachit-pribyl-na-odnu-akciyu-v-investirovanii,Что значит прибыль на одну акцию в инвестировании,статья,moex,Что значит прибыль на одну акцию в инвестировании_chto-znachit-pribyl-na-odnu-akciyu-v-investirovanii.txt
https://school.moex.com/articles/kto-takoj-kvalificirovannyj-investor,Кто такой квалифицированный инвестор,статья,moex,Кто такой квалифицированный инвестор_kto-takoj-kvalificirovannyj-investor.txt
https://school.moex.com/articles/chto-takoe-risk,Что такое риск,статья,moex,Что такое риск_chto-takoe-risk.txt
https://school.moex.com/articles/zachem-registrirovat-individualnyj-investicionnyj-schet-iis,Зачем регистрировать индивидуальный инвестиционный счет (ИИС),статья,moex,Зачем регистрировать индивидуальный инвестиционный_zachem-registrirovat-individualnyj-investicionnyj-schet-iis.txt
https://school.moex.com/articles/chto-takoe-short-i-long-na-fondovom-rynke,Что такое шорт и лонг на фондовом рынке,статья,moex,Что такое шорт и лонг на фондовом рынке_chto-takoe-short-i-long-na-fondovom-rynke.txt
https://school.moex.com/articles/fondy-i-ih-rol-v-diversifikacii-portfelya,Фонды и их роль в диверсификации портфеля,статья,moex,Фонды и их роль в диверсификации портфеля_fondy-i-ih-rol-v-diversifikacii-portfelya.txt
https://school.moex.com/articles/chto-pochitat-po-investirovaniyu-i-trejdingu,Что почитать по инвестированию и трейдингу,статья,moex,Что почитать по инвестированию и трейдингу_chto-pochitat-po-investirovaniyu-i-trejdingu.txt
https://school.moex.com/articles/podvodnye-kamni-subordinirovannyh-obligacij,«Подводные камни» субординированных облигаций,статья,moex,Подводные камни субординированных облигаций_podvodnye-kamni-subordinirovannyh-obligacij.txt
https://school.moex.com/articles/nedorogoj-sposob-pouchastvovat-v-otskoke-ili-snizhenii-rynka,Недорогой способ поучаствовать в отскоке или снижении рынка,статья,moex,Недорогой способ поучаствовать в отскоке или сниже_nedorogoj-sposob-pouchastvovat-v-otskoke-ili-snizhenii-rynka.txt
https://school.moex.com/articles/pochemu-derivativami-torguyut-na-trilliony,Почему деривативами торгуют на триллионы,статья,moex,Почему деривативами торгуют на триллионы_pochemu-derivativami-torguyut-na-trilliony.txt
https://school.moex.com/articles/narodnye-obligacii-so-stavkoj-9,Народные облигации со ставкой 9%,статья,moex,Народные облигации со ставкой 9_narodnye-obligacii-so-stavkoj-9.txt
https://school.moex.com/articles/fondovye-indeksy-etalon-dlya-terpelivogo-investora,Фондовые индексы - эталон для терпеливого инвестора,статья,moex,Фондовые индексы - эталон для терпеливого инвестор_fondovye-indeksy-etalon-dlya-terpelivogo-investora.txt
https://school.moex.com/articles/chto-takoye-ipo,Что такое IPO — простыми словами,статья,moex,Что такое IPO  простыми словами_chto-takoye-ipo.txt
https://school.moex.com/articles/yaponskiye-svechi-dlya-nachinayushchikh,Японские свечи для начинающих,статья,moex,Японские свечи для начинающих_yaponskiye-svechi-dlya-nachinayushchikh.txt
https://school.moex.com/articles/fyuchersy-massa-preimushchestv-dlya-opytnyh-trejdero,Фьючерсы – масса преимуществ для опытных трейдеров,статья,moex,Фьючерсы  масса преимуществ для опытных трейдеров_fyuchersy-massa-preimushchestv-dlya-opytnyh-trejdero.txt
https://school.moex.com/articles/indeksy-rts-i-mosbirzhi-zachem-nuzhny-chem-otlichayutsya,"Индексы РТС и МосБиржи — зачем нужны, чем отличаются",статья,moex,Индексы РТС и МосБиржи  зачем нужны чем отличаются_indeksy-rts-i-mosbirzhi-zachem-nuzhny-chem-otlichayutsya.txt
https://school.moex.com/articles/otvetstvennye-investicii-izmenyat-mir,Ответственные инвестиции изменят мир?,статья,moex,Ответственные инвестиции изменят мир_otvetstvennye-investicii-izmenyat-mir.txt
https://school.moex.com/articles/skolko-mozhno-zarabotat-na-obligaciyah,Сколько можно заработать на облигациях,статья,moex,Сколько можно заработать на облигациях_skolko-mozhno-zarabotat-na-obligaciyah.txt
https://school.moex.com/articles/10-zapovedej-investora,10 заповедей инвестора,статья,moex,10 заповедей инвестора_10-zapovedej-investora.txt
https://school.moex.com/articles/s-chego-nachat-investicii-poshagovaya-instrukciya,С чего начать инвестиции – пошаговая инструкция,статья,moex,С чего начать инвестиции  пошаговая инструкция_s-chego-nachat-investicii-poshagovaya-instrukciya.txt
https://school.moex.com/articles/onlajn-kurs-put-investora-kak-nauchit-investiciyam-s-nulya,Онлайн-курс «Путь инвестора»: как научить инвестициям с нуля?,статья,moex,Онлайн-курс Путь инвестора как научить инвестициям_onlajn-kurs-put-investora-kak-nauchit-investiciyam-s-nulya.txt
https://school.moex.com/articles/oshibka-vyzhivshego-ili-pochemu-oshibaetsya-analitik-kotoryj-predskazal-mirovoj-krizis,"Ошибка выжившего» или почему ошибается аналитик, который предсказал мировой кризис?",статья,moex,Ошибка выжившего или почему ошибается аналитик кот_oshibka-vyzhivshego-ili-pochemu-oshibaetsya-analitik-kotoryj-predskazal-mirovoj-krizis.txt
https://school.moex.com/articles/fyuchersy-zachem-oni-mne,"Фьючерсы, зачем они мне?",статья,moex,Фьючерсы зачем они мне_fyuchersy-zachem-oni-mne.txt
https://school.moex.com/articles/rejtingovye-agentstva-chto-delayut-chem-polezny,"Рейтинговые агентства: что делают, чем полезны",статья,moex,Рейтинговые агентства что делают чем полезны_rejtingovye-agentstva-chto-delayut-chem-polezny.txt
https://school.moex.com/articles/vershina-rynka-prodavat-nelzya-zhdat,"Вершина рынка. Продавать нельзя, ждать?",статья,moex,Вершина рынка Продавать нельзя ждать_vershina-rynka-prodavat-nelzya-zhdat.txt
https://school.moex.com/articles/chto-takoe-klyuchevaya-stavka-i-kak-ona-vliyaet-na-rynki-i-ekonomiku,Что такое ключевая ставка и как она влияет на рынки и экономику,статья,moex,Что такое ключевая ставка и как она влияет на рынк_chto-takoe-klyuchevaya-stavka-i-kak-ona-vliyaet-na-rynki-i-ekonomiku.txt
https://school.moex.com/articles/put-investora-poluchil-akkreditaciyu-arfg,«Путь инвестора» получил аккредитацию АРФГ,статья,moex,Путь инвестора получил аккредитацию АРФГ_put-investora-poluchil-akkreditaciyu-arfg.txt
https://school.moex.com/articles/novyj-instrument-etf-na-akcii-kompanij-kibersporta,Новый инструмент – ETF на акции компаний киберспорта,статья,moex,Новый инструмент  ETF на акции компаний киберспорт_novyj-instrument-etf-na-akcii-kompanij-kibersporta.txt
https://school.moex.com/articles/chto-takoe-kodeks-dobrosovestnogo-povedeniya-i-chem-on-polezen-chastnomu-investoru,Что такое Кодекс добросовестного поведения и чем он полезен частному инвестору?,статья,moex,Что такое Кодекс добросовестного поведения и чем о_chto-takoe-kodeks-dobrosovestnogo-povedeniya-i-chem-on-polezen-chastnomu-investoru.txt
https://school.moex.com/articles/luchshie-esg-akcii-rossijskogo-rynka,Лучшие ESG-акции российского рынка,статья,moex,Лучшие ESG-акции российского рынка_luchshie-esg-akcii-rossijskogo-rynka.txt
https://school.moex.com/articles/Mozhet-li-deneg-byt-slishkom-mnogo,Может ли денег быть слишком много,статья,moex,Может ли денег быть слишком много_Mozhet-li-deneg-byt-slishkom-mnogo.txt
https://school.moex.com/articles/Otlichiya-mezhdu-IIS-i-brokerskim-schetom,Отличия между ИИС и брокерским счетом,статья,moex,Отличия между ИИС и брокерским счетом_Otlichiya-mezhdu-IIS-i-brokerskim-schetom.txt
https://school.moex.com/articles/Kak-vybrat-brokera,Правильно выбранный брокер — это гарантия высоких стабильных заработков?,статья,moex,Правильно выбранный брокер  это гарантия высоких с_Kak-vybrat-brokera.txt
https://school.moex.com/articles/na-moskovskoj-birzhe-nachal-torgovatsya-fyuchers-na-indeks-amerikanskih-akcij-spyf,На Московской бирже начал торговаться фьючерс на индекс американских акций SPYF,статья,moex,На Московской бирже начал торговаться фьючерс на и_na-moskovskoj-birzhe-nachal-torgovatsya-fyuchers-na-indeks-amerikanskih-akcij-spyf.txt
https://school.moex.com/articles/brokerskij-dogovor-ili-pervoe-pravilo-yuridicheskoj-gramotnosti,Брокерский договор или первое правило юридической грамотности,статья,moex,Брокерский договор или первое правило юридической _brokerskij-dogovor-ili-pervoe-pravilo-yuridicheskoj-gramotnosti.txt
https://school.moex.com/articles/kak-vybrat-finansovogo-sovetnika,Как выбрать финансового советника,статья,moex,Как выбрать финансового советника_kak-vybrat-finansovogo-sovetnika.txt
https://school.moex.com/articles/kupit-100-kompanij-za-100-rublej-mif-ili-realnost,Купить 100 компаний за 100 рублей: миф или реальность,статья,moex,Купить 100 компаний за 100 рублей миф или реальнос_kupit-100-kompanij-za-100-rublej-mif-ili-realnost.txt
https://school.moex.com/articles/istochniki-informacii-dlya-fundamentalnogo-analiza-kompanii,Источники информации для фундаментального анализа компании,статья,moex,Источники информации для фундаментального анализа _istochniki-informacii-dlya-fundamentalnogo-analiza-kompanii.txt
https://school.moex.com/articles/dlya-chego-nuzhen-algotrejding,Для чего нужен алготрейдинг,статья,moex,Для чего нужен алготрейдинг_dlya-chego-nuzhen-algotrejding.txt
https://school.moex.com/articles/kak-rasschitat-nkd,Как рассчитать НКД,статья,moex,Как рассчитать НКД_kak-rasschitat-nkd.txt
https://school.moex.com/articles/kak-primenyat-dyuraciyu-na-praktike,Как применять дюрацию на практике,статья,moex,Как применять дюрацию на практике_kak-primenyat-dyuraciyu-na-praktike.txt
https://school.moex.com/articles/e-voting-prostoj-i-udobnyj-servis-onlajn-golosovaniya-dlya-kazhdogo,E-voting – простой и удобный сервис онлайн-голосования для каждого,статья,moex,E-voting  простой и удобный сервис онлайн-голосова_e-voting-prostoj-i-udobnyj-servis-onlajn-golosovaniya-dlya-kazhdogo.txt
https://school.moex.com/articles/dividendnyj-sezon-2021,Дивидендный сезон 2021,статья,moex,Дивидендный сезон 2021_dividendnyj-sezon-2021.txt
https://school.moex.com/articles/slovo-dnya-ebitda,Слово дня — EBITDA,статья,moex,Слово дня  EBITDA_slovo-dnya-ebitda.txt
https://school.moex.com/articles/nft-tokeny-ili-para-slov-ob-alternativnyh-investiciyah,NFT-токены или пара слов об альтернативных инвестициях,статья,moex,NFT-токены или пара слов об альтернативных инвести_nft-tokeny-ili-para-slov-ob-alternativnyh-investiciyah.txt
https://school.moex.com/articles/slovo-dnya-p-e,Слово дня — P/E,статья,moex,Слово дня  PE_slovo-dnya-p-e.txt
https://school.moex.com/articles/dohodnosti-ofz-stavyat-rekordy,Доходности ОФЗ ставят рекорды,статья,moex,Доходности ОФЗ ставят рекорды_dohodnosti-ofz-stavyat-rekordy.txt
https://school.moex.com/articles/slovo-dnya-eps,Слово дня — EPS,статья,moex,Слово дня  EPS_slovo-dnya-eps.txt
https://school.moex.com/articles/otvety-na-vashi-voprosy-po-teme-akcii-inostrannyh-emitentov-na-moskovskoj-birzhe,Ответы на ваши вопросы по теме: «Акции иностранных эмитентов на Московской бирже»,статья,moex,Ответы на ваши вопросы по теме Акции иностранных э_otvety-na-vashi-voprosy-po-teme-akcii-inostrannyh-emitentov-na-moskovskoj-birzhe.txt
https://school.moex.com/articles/Slovo_dnya_Slovar_birzhevogo_slenga_chast_2,Слово дня — Словарь биржевого сленга. Часть 2,статья,moex,Слово дня  Словарь биржевого сленга Часть 2_Slovo_dnya_Slovar_birzhevogo_slenga_chast_2.txt
https://school.moex.com/articles/chto-takoe-diversifikaciya-i-chem-ona-polezna-dlya-investora,Что такое диверсификация и чем она полезна для инвестора,статья,moex,Что такое диверсификация и чем она полезна для инв_chto-takoe-diversifikaciya-i-chem-ona-polezna-dlya-investora.txt
https://school.moex.com/articles/kak-vybrat-brokera-nachalo,Как выбрать брокера – начало,статья,moex,Как выбрать брокера  начало_kak-vybrat-brokera-nachalo.txt
https://school.moex.com/articles/slovo-dnya-slovar-birzhevogo-slenga,Слово дня — Словарь биржевого сленга,статья,moex,Слово дня  Словарь биржевого сленга_slovo-dnya-slovar-birzhevogo-slenga.txt
https://school.moex.com/articles/dumat-kak-analitik,"Думать, как аналитик",статья,moex,Думать как аналитик_dumat-kak-analitik.txt
https://school.moex.com/articles/slovo-dnya-denezhnyj-rynok,Слово дня — Денежный рынок,статья,moex,Слово дня  Денежный рынок_slovo-dnya-denezhnyj-rynok.txt
https://school.moex.com/articles/kak-chitat-kody-instrumentov-na-srochnom-rynke,Как читать коды инструментов на срочном рынке,статья,moex,Как читать коды инструментов на срочном рынке_kak-chitat-kody-instrumentov-na-srochnom-rynke.txt
https://school.moex.com/articles/slovo-dnya-vvedenie-v-npv,Слово дня — Введение в NPV,статья,moex,Слово дня  Введение в NPV_slovo-dnya-vvedenie-v-npv.txt
https://school.moex.com/articles/stoimost-deneg-vo-vremeni-diskontirovanie,Стоимость денег во времени: дисконтирование,статья,moex,Стоимость денег во времени дисконтирование_stoimost-deneg-vo-vremeni-diskontirovanie.txt
https://school.moex.com/articles/slovo-dnya-srochnyj-rynok,Слово дня - Срочный рынок,статья,moex,Слово дня - Срочный рынок_slovo-dnya-srochnyj-rynok.txt
https://school.moex.com/articles/slovo-dnya-moskovskaya-birzha,Слово дня — Московская Биржа,статья,moex,Слово дня  Московская Биржа_slovo-dnya-moskovskaya-birzha.txt
https://school.moex.com/articles/trenazhyor-trejdera,Тренажёр трейдера,статья,moex,Тренажёр трейдера_trenazhyor-trejdera.txt
https://school.moex.com/articles/iis-tipa-a,ИИС типа «А»,статья,moex,ИИС типа А_iis-tipa-a.txt
https://school.moex.com/articles/vazhnye-izmeneniya-v-raschyote-ndfl-v-2021-godu,Важные изменения в расчёте НДФЛ в 2021 году,статья,moex,Важные изменения в расчёте НДФЛ в 2021 году_vazhnye-izmeneniya-v-raschyote-ndfl-v-2021-godu.txt
https://school.moex.com/articles/slovo-dnya-ipo,Слово дня — IPO,статья,moex,Слово дня  IPO_slovo-dnya-ipo.txt
http://www.aup.ru/files/m250/,теория общественного хозяйствования (альтернатива экономической теории и экономикса),документ,books,m250.txt
http://www.aup.ru/files/m714/,комплексный экономический анализ,документ,books,m714.txt
http://www.aup.ru/files/m840/,история экономических учений,документ,books,m840.txt
http://www.aup.ru/files/m895/,введение в экономику: основы экономического анализа,документ,books,m895.txt
http://www.aup.ru/files/m963/,основы макроэкономического анализа,документ,books,m963.txt
http://www.aup.ru/files/m991/,основы микроэкономического анализа,документ,books,m991.txt
http://www.aup.ru/files/m998/,микроэкономика. основы теории рыночной экономики,документ,books,m998.txt
http://www.aup.ru/files/m1221/,микроэкономика,документ,books,m1221.txt
http://www.aup.ru/files/m1224/,макроэкономика,документ,books,m1224.txt
http://www.aup.ru/files/m1244/,история экономического анализа,документ,books,m1244.txt
http://www.aup.ru/files/m1301/,исследование социально-экономических и социально-политических процессов,документ,books,m1301.txt
http://www.aup.ru/files/m1402/,исследование социально-экономических процесов в современной россии,документ,books,m1402.txt
